Status,GrantID,PI,Source,Dates,Title,Summary
Active,R01AG054005,Raj,NIA,04/01/2017 - 03/31/2022,The Role of Peripheral Myeloid Cells in Alzheimer's Disease,"The goal of this research is to identify functional genetic variants that contribute to the development of Alzheimer's disease (AD) and to understand the innate immune mechanism by which these variants act to cause disease. Our proposed work may explain the causes of AD and have the potential to lead to the development of blood-based, biomarkers and new therapeutic targets for AD."
Completed,-,Raj,The Michael J. Fox Foundation,11/01/2017 - 10/31/2019,The Role of Peripheral Myeloid Cells in Parkinson's Disease,"The goal of this project is to characterize the transcriptome profiles of peripheral monocytes of Parkinson's disease patients, and to resolve functional genetic variants using expression quantitative trait locus mapping."
Active,-,Raj,The Michael J. Fox Foundation,11/01/2018 - 10/31/2020,Functional Fine-Mapping of LRRK2 Locus,The goal of this project use gene expression data to understand the functional consequences of LRRK2 variants in immune cells.
Active,R01AG054008 ,Crary (Co-investigator: Raj),NIA,07/15/2016 - 03/31/2021,Regulation of tau Expression in Alzheimer's Disease and Aging,The goal of this study is to use DNA and RNA sequencing in individuals with H1 and H2 haplotypes and different tauopathies to identify causal variants and splicing events associated with disease risk.
Completed,U01AG049508 ,Goate (Co-investigator: Raj),NIA,06/15/2014 - 05/31/2018                  ,Modifier Genes that Influence Age at Onset or Protect Against Development of Alzheimer's Disease,"This project strives to understand how to protect individuals against developing Alzheimer's disease by focusing on the identification of protective alleles, which may lead to the identification of novel therapeutic targets/disease mechanisms that may be missed when focusing on the search for risk alleles."
Active,P50AG05138-32S1 ,Sano (Co-investigator: Raj),NIH,09/01/2017 - 03/31/2020,Alzheimer's Disease Research Center,The goal of this study is to understand the relationship between diabetes and risk for AD. 
Active,U01AG058635 ,Goate (Co-investigator: Raj),NIA,04/01/2018 - 03/31/2023,Genomic Approach to Identification of Microglial Networks Involved in Alzheimer's Disease Risk ,The goal of this study is to use integrative genomic approaches to identify Alzheimer's Disease risk loci in microglial networks and to model the effects of a disease risk mutation in human induced pluripotent stem cells and a mouse model.
Active,U01MH116442 ,Roussos (Co-investigator: Raj),NIH,04/01/2018 - 03/31/2023,"The 3D Genome in Transcriptional Regulation Across the Postnatal Life Span, with Implications for Schizophrenia and Bipolar Disorder",The goal is to generate spatiotemporal maps of the 3D Genome in human brain tissue and explore the overlap with schizophrenia and bipolar disorder risk genetic variants _
Active,R21AA026388 ,Kapoor (Co-investigator: Raj),NIH,07/01/2018 - 06/30/2021,Role of Genomic Imprinting in the Etiology of Alcohol Dependence,The major goal of this project is to identify the genetics variants that have parent of origin specific effect on the alcoholism. We will perform a largest parent of origin genome-wide association analysis of alcoholism.
Completed,AARG-16-443665 ,Raj,Alzheimer's Association,10/01/2016 - 09/30/2018                  ,Functional Genomics of Alzheimer's Disease in African Americans,The goal of this pilot project to further the understanding of the genetic architecture of Alzheimer's Disease in African Americans through an integrated consideration of both epigenomic variation and transcriptome variation in peripheral blood.
